slug,name,amazonSearchUrl,asin,image,affiliateUrl
iphone-15-pro-max,iPhone 15 Pro Max,https://www.amazon.in/s?k=iPhone%2015%20Pro%20Max,NEEDS_ASIN,NEEDS_IMAGE,
samsung-galaxy-s24-ultra,Samsung Galaxy S24 Ultra,https://www.amazon.in/s?k=Samsung%20Galaxy%20S24%20Ultra,NEEDS_ASIN,NEEDS_IMAGE,
macbook-pro-14-m3,"MacBook Pro 14"" M3 Pro",https://www.amazon.in/s?k=MacBook%20Pro%2014%22%20M3%20Pro,NEEDS_ASIN,NEEDS_IMAGE,
boat-airdotes-pro-4,boAt Airdopes 441,https://www.amazon.in/s?k=boAt%20Airdopes%20441,NEEDS_ASIN,NEEDS_IMAGE,
apple-watch-ultra-2,Apple Watch Ultra 2,https://www.amazon.in/s?k=Apple%20Watch%20Ultra%202,NEEDS_ASIN,NEEDS_IMAGE,
noise-colorfit-pro-4,Noise ColorFit Pro 4 Alpha,https://www.amazon.in/s?k=Noise%20ColorFit%20Pro%204%20Alpha,NEEDS_ASIN,NEEDS_IMAGE,
sony-wh-1000xm5,Sony WH-1000XM5,https://www.amazon.in/s?k=Sony%20WH-1000XM5,NEEDS_ASIN,NEEDS_IMAGE,
lg-c3-oled-55,"LG C3 OLED 55""",https://www.amazon.in/s?k=LG%20C3%20OLED%2055%22,NEEDS_ASIN,NEEDS_IMAGE,
oneplus-12,OnePlus 12,https://www.amazon.in/s?k=OnePlus%2012,NEEDS_ASIN,NEEDS_IMAGE,
dell-xps-15,Dell XPS 15 (2024),https://www.amazon.in/s?k=Dell%20XPS%2015%20(2024),NEEDS_ASIN,NEEDS_IMAGE,
samsung-galaxy-buds-pro-2,Samsung Galaxy Buds 2 Pro,https://www.amazon.in/s?k=Samsung%20Galaxy%20Buds%202%20Pro,NEEDS_ASIN,NEEDS_IMAGE,
sony-zv-e10-ii,Sony ZV-E10 II,https://www.amazon.in/s?k=Sony%20ZV-E10%20II,NEEDS_ASIN,NEEDS_IMAGE,
